"Reason","Map","Name","DeleteGuid","KeepGuid","Entry","X","Y","DistXY","VendorItems"
"same_entry_stack","859","Ancient Dwarven Artifact","219259","335461","52449","-11898.1","-1866.09","0","0"
"same_entry_stack","859","Ancient Dwarven Artifact","219264","337769","52449","-11910.5","-1902.63","0","0"
"same_entry_stack","859","Ancient Dwarven Artifact","219265","335460","52449","-11915.6","-1893.65","0","0"
"same_entry_stack","859","Ancient Dwarven Artifact","219267","337770","52446","-11890","-1902.46","0","0"
"same_entry_stack","859","Ancient Dwarven Artifact","219277","337768","52449","-11908.1","-1913.17","0","0"
"same_entry_stack","859","Ancient Elven Artifact","219279","337765","52451","-11857.9","-1906.62","0","0"
"same_entry_stack","859","Ancient Elven Artifact","219281","335447","52451","-11848.1","-1895.26","0","0"
"same_entry_stack","859","Ancient Elven Artifact","219283","337766","52451","-11854.2","-1913.29","0.1","0"
"same_entry_stack","859","Ancient Fossil","219260","335451","52455","-11868","-1840.68","0","0"
"same_entry_stack","859","Ancient Fossil","219268","335453","52455","-11852.5","-1857.78","0","0"
"same_entry_stack","859","Ancient Fossil","219269","337771","52455","-11858.1","-1850.68","0","0"
"same_entry_stack","859","Ancient Fossil","219270","335452","52455","-11857.6","-1843.13","0","0"
"same_entry_stack","859","Ancient Troll Artifact","219258","335458","52453","-11885","-1850.56","0","0"
"same_entry_stack","859","Ancient Troll Artifact","219266","335456","52453","-11887.3","-1902.98","0","0"
"same_entry_stack","859","Ancient Troll Artifact","219278","335455","52453","-11845.6","-1875.98","0","0"
"same_entry_stack","859","Berserking Boulder Roller","219215","335905","52348","-12242","-1819.16","0","0"
"same_entry_stack","859","Blackwater Ruffian","218895","335728","53044","-11941.1","-1257.73","0","0"
"same_entry_stack","859","Blackwater Ruffian","218900","335729","53044","-11947.6","-1264.62","0","0"
"same_entry_stack","859","Bloodlord Mandokir","219055","335736","52151","-12362","-1911.49","0","0"
"same_entry_stack","859","Bloodslayer T'ara","218897","335724","53023","-11891.8","-1264.72","0","0"
"same_entry_stack","859","Bloodslayer Vaena","218893","335917","53025","-11896.5","-1265.32","0","0"
"same_entry_stack","859","Bloodslayer Zala","218894","335727","53024","-11894.4","-1261.25","0","0"
"same_entry_stack","859","Boulder Target","219211","335701","52352","-12127.5","-1809.64","0","0"
"same_entry_stack","859","Boulder Target","219212","335702","52352","-12116.7","-1818.28","0","0"
"same_entry_stack","859","Boulder Target","219213","335903","52352","-12125.9","-1827.86","0","0"
"same_entry_stack","859","Briney Boltcutter","218899","335918","53043","-11945.8","-1259.57","0","0"
"same_entry_stack","859","Chosen of Hethiss","219132","336027","52323","-11974.1","-1743.49","0","0"
"same_entry_stack","859","Chosen of Hethiss","219133","336339","52323","-11960.5","-1742.84","0","0"
"same_entry_stack","859","Chosen of Hethiss","219134","336369","52323","-11968.6","-1745.58","0","0"
"same_entry_stack","859","Chosen of Hethiss","219135","336328","52323","-11978.7","-1747.91","0","0"
"same_entry_stack","859","Chosen of Hethiss","219136","336142","52323","-11963.8","-1749.5","0","0"
"same_entry_stack","859","Chosen of Hethiss","219137","336421","52323","-11970.3","-1751.85","0","0"
"same_entry_stack","859","Chosen of Hethiss","219138","336427","52323","-11975.4","-1754.05","0","0"
"same_entry_stack","859","Chosen of Hethiss","219139","335842","52323","-11957.4","-1750.85","0","0"
"same_entry_stack","859","Chosen of Hethiss","219140","336297","52323","-11966.1","-1755.18","0","0"
"same_entry_stack","859","Chosen of Hethiss","219141","336086","52323","-11960.9","-1756.03","0","0"
"same_entry_stack","859","Chosen of Hethiss","219157","336414","52323","-11958.5","-1761.61","0","0"
"same_entry_stack","859","Chosen of Hethiss","337968","337969","52323","-11965.8","-1756.35","1.117","0"
"same_entry_stack","859","Curious Jungle Monkey","218909","336424","52441","-11891","-1287.51","0.576","0"
"same_entry_stack","859","Curious Jungle Monkey","219026","336327","52441","-11977.9","-1409.01","0.251","0"
"same_entry_stack","859","Curious Jungle Monkey","219038","336406","52441","-11978","-1519.22","0.366","0"
"same_entry_stack","859","Curious Jungle Monkey","219040","336196","52441","-11990.8","-1534.73","0.614","0"
"same_entry_stack","859","Curious Jungle Monkey","219164","336270","52441","-12087.5","-1683.51","0.727","0"
"same_entry_stack","859","Curious Jungle Monkey","219166","336090","52441","-12088.8","-1707.62","0.34","0"
"same_entry_stack","859","Curious Jungle Monkey","219197","337691","52441","-12100.9","-1726.43","0.44","0"
"same_entry_stack","859","Curious Jungle Monkey","219200","336429","52441","-12043.7","-1792.27","0","0"
"same_entry_stack","859","Curious Jungle Monkey","219210","338178","52441","-12100.9","-1811.02","0.409","0"
"same_entry_stack","859","Curious Jungle Monkey","219214","338164","52441","-11998.1","-1821.2","0.4","0"
"same_entry_stack","859","Curious Jungle Monkey","219218","336331","52441","-12244.5","-1847.35","0.608","0"
"same_entry_stack","859","Curious Jungle Monkey","219251","335563","52441","-12411.6","-1880.75","0.05","0"
"same_entry_stack","859","Curious Jungle Monkey","219261","338148","52441","-11888.6","-1825.3","0.313","0"
