"Map","Name","DeleteGuid","KeepGuid","Entry","X","Y","Z","ClusterSize","DeleteInBaseline","KeepInBaseline"
"859","Ancient Dwarven Artifact","335460","219265","52449","-11915.6","-1893.65","63.88","2","0","1"
"859","Ancient Dwarven Artifact","335461","219259","52449","-11898.1","-1866.09","63.82","2","0","1"
"859","Ancient Dwarven Artifact","337768","219277","52449","-11908.1","-1913.17","64.26","2","0","1"
"859","Ancient Dwarven Artifact","337769","219264","52449","-11910.5","-1902.63","63.74","2","0","1"
"859","Ancient Dwarven Artifact","337770","219267","52446","-11890","-1902.46","63.59","2","0","1"
"859","Ancient Elven Artifact","335447","219281","52451","-11848.1","-1895.26","63.72","2","0","1"
"859","Ancient Elven Artifact","337765","219279","52451","-11857.9","-1906.62","63.71","2","0","1"
"859","Ancient Fossil","335451","219260","52455","-11868","-1840.68","63.91","2","0","1"
"859","Ancient Fossil","335452","219270","52455","-11857.6","-1843.13","63.7","2","0","1"
"859","Ancient Fossil","335453","219268","52455","-11852.5","-1857.78","63.92","2","0","1"
"859","Ancient Fossil","337771","219269","52455","-11858.1","-1850.68","63.83","2","0","1"
"859","Ancient Troll Artifact","335455","219278","52453","-11845.6","-1875.98","63.74","2","0","1"
"859","Ancient Troll Artifact","335456","219266","52453","-11887.3","-1902.98","63.59","2","0","1"
"859","Ancient Troll Artifact","335458","219258","52453","-11885","-1850.56","63.81","2","0","1"
"859","Berserking Boulder Roller","335905","219215","52348","-12242","-1819.16","130.19","2","0","1"
"859","Blackwater Ruffian","335728","218895","53044","-11941.1","-1257.73","85.18","2","0","1"
"859","Blackwater Ruffian","335729","218900","53044","-11947.6","-1264.62","85.21","2","0","1"
"859","Bloodlord Mandokir","335736","219055","52151","-12362","-1911.49","127.32","2","0","1"
"859","Bloodslayer T'ara","335724","218897","53023","-11891.8","-1264.72","85.22","2","0","1"
"859","Bloodslayer Vaena","335917","218893","53025","-11896.5","-1265.32","85.22","2","0","1"
"859","Bloodslayer Zala","335727","218894","53024","-11894.4","-1261.25","85.22","2","0","1"
"859","Boulder Target","335701","219211","52352","-12127.5","-1809.64","81.46","2","0","1"
"859","Boulder Target","335702","219212","52352","-12116.7","-1818.28","80.24","2","0","1"
