"Map","Name","Guid","Entry","X","Y","DistXY"
"870","""Dragonwing"" Dan","513491","58843","-439.51","1882.28","0"
"870","""Strange Happenings"" - Ritual Credit","510193","60921","3616.11","1267.27","0"
"870","A Mysterious Voice","529500","65357","-923.82","2559.9","0"
"870","Abrogar Dusthoof","1044","71483","1541.89","904.52","0"
"870","Abrogar Dusthoof","535307","71483","1541.89","904.52","0"
"870","Adjunct Ek'vem","530234","62073","-21.63","4497.99","0"
"870","Adjunct Ikkess","530232","62074","-18.53","4351.32","0"
"870","Adjunct Sek'ot","531718","64995","-1670.47","4831.36","0"
"870","Adjunct Suruz","530233","62075","-165.06","4350.19","0"
"870","Adjunct Tzikzi","530235","62076","-167.47","4495.4","0"
"870","Agitated Shale Spider","580465","67759","-2082.63","1915.53","0"
"870","Agitated Shale Spider","580468","67759","-2056.55","1911.01","0"
"870","Agitated Shale Spider","580469","67759","-2055.87","2035.02","0"
"870","Agitated Shale Spider","580470","67759","-2054.36","2000.43","0"
"870","Agitated Shale Spider","580471","67759","-2045.75","2019.99","0"
"870","Agitated Shale Spider","580482","67759","-1977.03","1883.96","0"
"870","Agitated Shale Spider","580483","67759","-1919.62","1954.11","0"
"870","Aimee Morningbreeze","505807","66239","2896.71","-479.7","0"
"870","Albino Riding Crane","502748","66293","1618.36","-1798.06","0"
"870","Albino Riding Crane","514044","66293","-206.93","513.26","0"
"870","Alliance Camp","503812","56509","1127.41","-600.64","0"
"870","Alliance Prisoner","501793","55490","-83.17","-2400.51","0"
"870","Alliance Trainee","508395","63820","2120.97","1486.75","0"
"870","Alliance Trainee","508396","63820","2130.16","1490.98","0"
"870","Alliance Trainee","508405","63820","2167.8","1477.1","0"
"870","Alliance Trainee","508406","63820","2137.55","1474.38","0"
"870","Alliance Trainee","508407","63820","2127.55","1474.08","0"
"870","Alliance Trainee","508408","63820","2131.6","1476.09","0"
"870","Alliance Trainee","508409","63820","2135.83","1477.77","0"
"870","Alliance Trainee","508410","63820","2170.27","1480.93","0"
"870","Alliance Trainee","508417","63820","2138.69","1497.22","0"
"870","Alliance Trainee","508418","63820","2154.16","1498.75","0"
"870","Alliance Trainee","508419","63820","2153.88","1503.14","0"
"870","Alliance Trainee","508420","63820","2137.1","1501.42","0"
"870","Alliance Trainee","508421","63820","2139.95","1499.9","0"
"870","Alliance Trainee","508422","63820","2151.02","1501.34","0"
"870","Alliance Trainee","508423","63820","2151.1","1498.8","0"
"870","Alliance Trainee","508424","63820","2125.17","1493.35","0"
"870","Alliance Trainee","508425","63820","2138.73","1504.48","0"
"870","Alliance Trainee","508426","63820","2125.46","1501","0"
"870","Alliance Trainee","508428","63820","2116.49","1496.72","0"
"870","Alliance Trainee","508435","63820","2146.68","1435.69","0"
"870","Alliance Trainee","508436","63820","2133.15","1472.59","0"
"870","Alliance Trainee","508437","63820","2128.95","1470.43","0"
"870","Alliance Trainee","508438","63820","2171.63","1474.5","0"
"870","Alliance Trainee","508439","63820","2148.35","1438.88","0"
"870","Alliance Trainee","508441","63820","2139.17","1471.11","0"
"870","Alliance Trainee","508443","63820","2136.47","1444.32","0"
"870","Alliance Trainee","508445","63820","2134.82","1469.04","0"
"870","Alliance Trainee","508446","63820","2130.46","1467.14","0"
"870","Alliance Trainee","508454","63820","2166.45","1439.96","0"
"870","Alliance Trainee","508457","63820","2163.04","1439.18","0"
"870","Alliance Trainee","508458","63820","2150.39","1434.17","0"
"870","Alliance Yak","508448","63770","2130.32","1433.56","0"
"870","Alliance Yak","508450","63770","2126.11","1433.4","0"
"870","Alliance Yak","508455","63770","2136.22","1429.6","0"
"870","Alpine Foxling Kit","506921","63551","2892.72","2112.63","0.366"
"870","Amani Skullbreaker","510294","60580","4361.77","350.05","0"
"870","Amani Skullbreaker","510311","60580","4407.83","360.1","0"
"870","Amani Skullbreaker","510326","60580","4412.96","303.62","0"
"870","Amani Skullbreaker","510327","60580","4338.69","259.88","0"
"870","Amani Skullbreaker","510329","60580","4282.92","289.42","0"
"870","Ambassador Han","517891","58630","-1708.41","1585.74","0"
"870","Ambassador Len","518724","58954","-1351.39","2212.09","0"
"870","Amber Tap","526880","63740","389.28","2185.48","0"
"870","Amber Tap","526965","63740","337.11","2332.64","0"
"870","Amber Tap","526976","63740","322.31","2275.19","0"
"870","Amber Tap","527252","63740","203.84","2481.93","0"
"870","Amber Tap","527336","63740","148.1","2268.56","0"
"870","Amber Tap","527355","63740","196.74","2412.08","0"
"870","Amber Tap","529710","63740","807.7","2494.64","0"
"870","Amber Tap","529744","63740","805.15","2408.66","0"
"870","Amber Tap","531068","63740","-182.49","2599.95","0"
"870","Amber Tap","531089","63740","-15.84","2495.56","0"
"870","Amber Tap","531093","63740","-105.1","2534.13","0"
"870","Amber Tap","531103","63740","-148.98","2526.68","0"
"870","Amber Tap","531112","63740","-118.43","2598.01","0"
"870","Amber Tap","531139","63740","-170.63","2614.27","0"
"870","Amber Tap","531146","63740","-133.4","2583.78","0"
"870","Amber Tap","531149","63740","-145.39","2574.95","0"
"870","Amber-Fed Hatchling","531190","64983","-1477.45","4841.13","0"
"870","Amber-Fed Hatchling","531191","64983","-1482.52","4841.19","0"
"870","Amber-Fed Hatchling","531192","64983","-1475.14","4843.01","0"
"870","Amber-Fed Hatchling","531193","64983","-1466.42","4844.1","0"
"870","Amber-Fed Hatchling","531199","64983","-1418.37","4834.81","0"
"870","Amber-Fed Hatchling","531200","64983","-1411.33","4839.35","0"
"870","Amber-Fed Hatchling","531202","64983","-1403.8","4840.83","0"
"870","Amber-Fed Hatchling","531218","64983","-1399.34","4837.06","0"
"870","Amber-Fed Hatchling","531309","64983","-1253.82","4838.89","0"
"870","Amber-Fed Hatchling","531311","64983","-1258.47","4841.2","0"
"870","Amber-Fed Hatchling","531312","64983","-1254.87","4845.03","0"
"870","Amber-Fed Hatchling","531344","64983","-1261.57","4847.91","0"
"870","Amber-Fed Hatchling","531374","64983","-1293.78","4814.88","0"
"870","Amber-Fed Hatchling","531378","64983","-1259.69","4825.31","0"
"870","Amber-Fed Hatchling","531380","64983","-1262.69","4831.54","0"
"870","Amber-Fed Hatchling","531382","64983","-1261.02","4819.49","0"
"870","Amber-Fed Hatchling","531389","64983","-1294.2","4802.12","0"
"870","Amber-Fed Hatchling","531390","64983","-1296.99","4807.47","0"
"870","Amber-Fed Hatchling","531391","64983","-1297.45","4813.1","0"
"870","Amber-Fed Hatchling","531396","64983","-1316.25","4833.2","0"
"870","Amber-Fed Hatchling","531397","64983","-1317.12","4829.2","0"
"870","Amber-Fed Hatchling","531444","64983","-1297.88","4816.51","0"
"870","Amber-Fed Hatchling","531445","64983","-1268.72","4845.58","0"
"870","Amber-Fed Hatchling","531446","64983","-1296.61","4818.49","0"
"870","Amber-Fed Hatchling","531453","64983","-1308.83","4828.79","0"
"870","Ambush Event Bunny","506687","60765","3563.98","1706.75","0"
"870","Ambush Trigger Visual","506685","63177","3557.43","1703.48","0"
"870","Amethyst Spiderling","517299","64798","-1022.03","851.76","0.156"
"870","Amethyst Spiderling","517353","64798","-1949.41","932.13","0.355"
"870","Amethyst Spiderling","518982","64798","-2915.12","570.47","0.11"
"870","Amethyst Spiderling","519204","64798","-2253.06","786.85","0.3"
"870","Ancient Guardian","526903","65450","424.14","2378.51","0"
"870","Ancient Guardian","527338","65450","138.79","2303.91","0"
"870","Ancient Mogu Spirit","533678","58671","762.61","1398.25","0"
"870","Ancient Mogu Spirit","533686","58671","823.66","1372.08","0"
"870","Ancient Mogu Spirit","533692","58671","830.19","1401.51","0"
"870","Ancient Mogu Spirit","533693","58671","820.26","1396.8","0"
"870","Ancient Mogu Spirit","533694","58671","861.67","1411.1","0"
"870","Ancient Mogu Spirit","533705","58671","779.36","1395.05","0"
"870","Ancient Mogu Spirit","533712","58671","764.76","1216.44","0"
"870","Ancient Mogu Spirit","533713","58671","795.73","1215.54","0"
"870","Ancient Mogu Spirit","533720","58671","726.32","1257.93","0"
"870","Ancient Mogu Spirit","533722","58671","888.09","1186.8","0"
"870","Ancient Mogu Spirit","533724","58671","836.45","1164.09","0"
"870","Ancient Mogu Spirit","533729","58671","809.78","1202.88","0"
"870","Ancient Mogu Spirit","533731","58671","833.73","1227.92","0"
"870","Ancient Mogu Spirit","533739","58671","827.53","1155.31","0"
"870","Ancient Mogu Spirit","533742","58671","835.71","1119.74","0"
"870","Ancient Mogu Spirit","533747","58671","782.46","1197.8","0"
"870","Ancient Mogu Spirit","533749","58671","838.12","1207.55","0.242"
"870","Ancient Mogu Spirit","533758","58671","889.2","1170.35","0"
"870","Ancient Mogu Spirit","533759","58671","773.42","1289.66","0"
"870","Ancient Mogu Spirit","533766","58671","791.37","1272.64","0"
"870","Ancient Mogu Spirit","533768","58671","791.71","1286.92","0"
"870","Ancient Mogu Spirit","533770","58671","721.25","1307.13","0.333"
"870","Ancient Mogu Spirit","533774","58671","855.33","1119.11","0"
"870","Ancient Mogu Spirit","533777","58671","786.11","1330.46","0"
"870","Ancient Mogu Spirit","533788","58671","783.24","1246.95","0"
"870","Ancient Mogu Spirit","533789","58671","769.77","1245.64","0"
"870","Ancient Mogu Spirit","533794","58671","754.24","1224.43","0"
"870","Ancient Mogu Spirit","534398","58671","911.22","1397.27","0"
"870","Ancient Rune of Striking","517569","66067","-1195.86","420.85","0"
"870","Ancient Rune of Striking","517574","66067","-1210.56","311.83","0"
"870","Ancient Rune of Striking","517580","66067","-1237.51","425.46","0"
"870","Ancient Rune of Striking","517582","66067","-1279.17","387.39","0"
"870","Ancient Rune of Striking","517584","66067","-1312.49","304.07","0"
"870","Ancient Rune of Striking","517640","66067","-1218.38","458.21","0"
"870","Ancient Rune of Striking","517700","66067","-1345.4","399.19","0"
"870","Ancient Rune of Striking","517703","66067","-1373.75","379.21","0"
"870","Ancient Stag","529752","66605","456.17","3178.57","0.317"
"870","Ancient Statue Arm","501507","67017","2656.86","-650.65","0"
"870","Ancient Statue Head","501511","67018","2605.95","-637.55","0"
"870","Ancient Statue Torso","501486","67016","2768.66","-587.7","0"
"870","Andrea Toyas","534159","64073","835.53","241.88","0"
"870","Anduin Wrynn","503743","56562","1446.07","-549.19","0"
"870","Anduin Wrynn","518710","59188","-1164.56","1043.37","0"
"870","Anduin Wrynn","536849","73061","-622.72","-4910.01","0.434"
"870","Ang Thunderfoot","513012","56207","435.89","-523.4","0"
"870","Angler Chris","519116","65382","-2521.31","547.41","0"
"870","Angler Marzai","518757","63887","-1510.2","-219.3","0"
"870","Angler Shen","518761","59586","-1469.85","-218.82","0"
"870","Anglers Expedition Defender","520832","60774","-1419.81","55.38","0"
"870","Anglers Expedition Defender","520833","60774","-1419.71","40.71","0"
"870","Anglers Expedition Defender","520834","60774","-1411.44","58.04","0"
"870","Anglers Expedition Defender","520835","60774","-1395.23","16.75","0.142"
"870","Anglers Expedition Defender","520836","60774","-1414.41","81.4","0"
"870","Anglers Expedition Defender","520837","60774","-1382.94","41.29","0"
"870","Anglers Expedition Defender","520843","60774","-1380.01","49.26","0"
"870","Anglers Expedition Defender","520845","60774","-1384.42","70.35","0"
"870","Anglers Expedition Defender","520850","60774","-1359.12","27.05","0"
"870","Anglers Expedition Defender","520851","60774","-1403.89","42.7","0"
"870","Anglers Expedition Defender","520852","60774","-1351.76","10.7","0"
"870","Anglers Expedition Defender","520857","60774","-1388.4","5.05","0"
"870","Anglers Expedition Defender","520859","60774","-1432.12","33.05","0"
"870","Anglers Fisherman","505244","64324","2651.92","-2412.68","0"
"870","Anglers Fisherman","505251","64324","2625.41","-2352.45","0"
"870","Anglers Fisherman","505265","64324","2531.94","-2448.61","0"
"870","Anglers Fisherman","505274","64324","2606.13","-2458.31","0"
"870","Anglers Fisherman","505299","64324","2620.16","-2513.5","0"
"870","Anglers Fisherman","505302","64324","2690.27","-2375.14","0"
"870","Anglers Fisherman","505304","64324","2671.54","-2419.37","0"
"870","Anglers Fisherman","505307","64324","2644.11","-2521.67","0"
"870","Anglers Fisherman","505308","64324","2733.74","-2476.01","0"
"870","Anglers Fisherman","505309","64324","2767.03","-2570.93","0"
"870","Anglers Fisherman","505314","64324","2660.27","-2544.77","0"
"870","Anglers Fisherman","505316","64324","2716.25","-2473.68","0"
"870","Anglers Fisherman","518746","60693","-1477.24","-223.37","0"
"870","Anglers Fisherman","518756","60693","-1525.71","-222.57","0"
"870","Anglers Fisherwoman","505260","64326","2582.51","-2478.72","0"
"870","Anglers Fisherwoman","505288","64326","2800.62","-2477.98","0"
"870","Anglers Fisherwoman","505294","64326","2756.44","-2644.68","0"
"870","Anglers Fisherwoman","505313","64326","2664.05","-2541.93","0"
"870","Anglers Wharf Defender","518743","67197","-1468.87","-208.35","0"
"870","Anglers Wharf Defender","518755","67197","-1529.91","-234.78","0"
"870","Anglers Wharf Defender","518763","67197","-1479.15","-246.31","0"
"870","Ann Stockton","534104","64108","805.78","292.38","0"
"870","Anthea Ironpaw","997","58713","-264.75","611.39","0"
"870","Anthea Ironpaw","514082","58713","-264.75","611.39","0"
"870","Apo the Joyful Heart","534128","64173","832.76","276.67","0"
"870","Apothecary Cheng","507215","59077","1744.83","360.31","0"
"870","Apprentice Yufi","502774","54998","1518.98","-2015.1","0"
"870","Arboretum Defender","503240","67199","1595.46","-2627.71","0.462"
"870","Arboretum Defender","503243","67199","1535.76","-2544.35","0.443"
"870","Arm Kill Credit Bunny","501517","55383","2671.83","-621.6","0"
"870","Armored Carp","572038","59936","-1554.74","-259.42","0.218"
"870","Armored Carp","572049","59936","-1551.07","-258.36","0.214"
"870","Armored Carp","572052","59936","-1550.12","-256.43","0.419"
"870","Armorer Kisha","534087","64159","814.06","277.22","0"
"870","Arnold Raygun","536147","70034","6171.08","919.86","0.412"
"870","Arrow Receiving Bunny","506718","61789","3603.73","1730.21","0"
"870","Arrow Receiving Bunny","506721","61789","3604.82","1742.98","0"
"870","Arrow Receiving Bunny","510213","61789","3592.45","1613.92","0"
"870","Arrow Receiving Bunny","510225","61789","3593.52","1624.77","0"
"870","Arrow Shooting Bunny","506712","61787","3626.62","1727.51","0"
"870","Arrow Shooting Bunny","506845","61787","3627.85","1740.08","0"
"870","Arrow Shooting Bunny","510189","61787","3615.62","1611.19","0"
"870","Arrow Shooting Bunny","510219","61787","3616.62","1622.02","0"
"870","Arrow Shooting Bunny Visual","506684","63422","3627.88","1739.94","0"
"870","Arrow Shooting Bunny Visual","506704","63422","3603.73","1730.21","0"
"870","Arrow Shooting Bunny Visual","506711","63422","3626.62","1727.51","0"
"870","Arrow Shooting Bunny Visual","506715","63422","3604.82","1742.98","0"
"870","Arrow Shooting Bunny Visual","510205","63422","3615.35","1611.27","0"
"870","Arrow Shooting Bunny Visual","510214","63422","3592.65","1613.83","0"
"870","Arrow Shooting Bunny Visual","510220","63422","3593.66","1624.71","0"
"870","Arrow Shooting Bunny Visual","510250","63422","3616.53","1622.01","0"
"870","Ashen Pandaren Phoenix","534198","66971","1378.41","393.76","0"
"870","Ashfang Hyena","522652","60932","1674.76","2219.19","0"
"870","Ashfang Hyena","522681","60932","1534.56","2296.65","0"
"870","Ashfang Hyena","522683","60932","1519.64","2262.57","0"
"870","Ashfang Hyena","522731","60932","1813.55","2323","0"
"870","Ashfang Hyena","522733","60932","1874.08","2582.82","0"
"870","Ashfang Hyena","522766","60932","1787.72","2400.95","0"
"870","Ashfang Hyena","522770","60932","1717.81","2283.13","0"
"870","Ashfang Hyena","522778","60932","1749.88","2212.43","0"
"870","Ashfang Hyena","522784","60932","1725.26","2258.75","0"
"870","Ashfang Hyena","522797","60932","1793.09","2281.98","0"
"870","Aspiring Monk","507834","60930","3821.73","2022.09","0"
"870","Aspiring Monk","507840","60930","3808.47","2006.95","0"
"870","Aspiring Monk","507842","60930","3810.35","2001.4","0"
"870","Aspiring Monk","507851","60930","3809.68","2009.6","0"
"870","Aspiring Monk","511737","60930","3967.21","1857.73","0"
"870","Aspiring Monk","511738","60930","3967.07","1854.09","0"
